;Persentase Kemiskinan;Crime rate per 100000 Penduduk;Tingkat Penduduk yang menyelesaikan SMA;TPT;Kepadatan Penduduk per Km Sq
ACEH;15.43;149;70.07;6.59;91
SUMATERA UTARA;9.14;231;70.39;6.91;203
SUMATERA BARAT;6.56;150;67.11;6.88;132
RIAU;7.04;123;66.62;6.32;73
JAMBI;7.97;134;63.66;5.13;71
SUMATERA SELATAN;12.98;147;65.42;5.51;92
BENGKULU;15.3;172;62.73;4.07;101
LAMPUNG;12.76;92;57.59;4.67;260
KEP. BANGKA BELITUNG;4.89;133;56.74;5.25;89
KEP. RIAU;6.13;127;78.65;10.34;252
DKI JAKARTA;4.69;105;85.67;10.95;15907
JAWA BARAT;8.43;29;63.56;10.46;1365
JAWA TENGAH;11.84;31;55.82;6.48;1113
DI YOGYAKARTA;12.8;200;87.99;4.57;1171
JAWA TIMUR;11.46;44;63.53;5.84;851
BANTEN;6.63;63;64.24;10.64;1232
BALI;4.45;60;74.88;5.63;747
NUSA TENGGARA BARAT;14.23;167;64.66;4.22;286
NUSA TENGGARA TIMUR;21.21;88;50.65;4.28;109
KALIMANTAN BARAT;7.24;76;55.23;5.81;37
KALIMANTAN TENGAH;5.26;62;60.77;4.58;17
KALIMANTAN SELATAN;4.83;196;63.05;4.74;105
KALIMANTAN TIMUR;6.64;100;71.63;6.87;29
KALIMANTAN UTARA;7.41;146;67.77;4.97;9
SULAWESI UTARA;7.78;252;73.79;7.37;189
SULAWESI TENGAH;13.06;179;57.68;3.77;48
SULAWESI SELATAN;8.99;145;66.22;6.31;194
SULAWESI TENGGARA;11.69;81;68.28;4.58;69
GORONTALO;15.59;214;55.35;4.28;104
SULAWESI BARAT;11.5;125;56.60;3.32;85
MALUKU;17.99;303;70.55;7.57;39
MALUKU UTARA;6.97;69;66.52;5.15;40
PAPUA BARAT;21.7;328;61.49;6.8;11
PAPUA;26.8;208;30.92;4.28;13
